▁their ▁hum mus ▁with ▁ve gg ies ▁is ▁a ▁very ▁good ▁portion ▁for ▁ _ num _ ▁as ▁well ▁. <eos>
▁we ▁trust ▁them ▁with ▁our ▁sm iles ▁ _ num _ ▁ % ▁and ▁hope ▁to ▁come ▁here ▁always ▁. <eos>
▁this ▁is ▁a ▁must ▁try ▁if ▁you ▁live ▁in ▁scot ts dale ▁- ▁they ▁also ▁deliver ▁ ! <eos> <pad> <pad>
▁staff ▁so ▁friendly ▁and ▁professional ▁and ▁it ▁' s ▁never ▁feels ▁like ▁dent ist ▁office ▁ ! <eos> <pad> <pad> <pad>
▁i ▁would ▁recommend ▁george ▁and ▁son ▁' s ▁to ▁friends ▁visiting ▁the ▁scot ts dale ▁area ▁. <eos> <pad> <pad> <pad>
▁every ▁item ▁we ▁tried ▁was ▁prepared ▁perfectly ▁, ▁burst ing ▁with ▁flavor ▁and ▁pip ing ▁hot ▁. <eos> <pad> <pad> <pad>
▁my ▁f iance e ▁and ▁i ▁visited ▁this ▁new ▁establishment ▁after ▁watching ▁a ▁movie ▁at ▁amc ▁. <eos> <pad> <pad> <pad>
▁a ▁gas ▁station ▁, ▁convenience ▁store ▁, ▁and ▁a ▁mcdonald s ▁all ▁rolled ▁into ▁one ▁. <eos> <pad> <pad> <pad> <pad>
▁this ▁is ▁one ▁of ▁the ▁best ▁chinese ▁food ▁places ▁in ▁all ▁of ▁scot ts dale ▁. <eos> <pad> <pad> <pad> <pad>
▁the ▁decor ▁is ▁very ▁modern ▁and ▁clean ▁, ▁and ▁the ▁food ▁is ▁del ish ▁ ! <eos> <pad> <pad> <pad> <pad>
▁s zech uan ▁cuisine ▁should ▁have ▁a ▁little ▁more ▁kick ▁, ▁but ▁it ▁was ▁good ▁. <eos> <pad> <pad> <pad> <pad>
▁love ▁the ▁cantonese ▁chow ▁me in ▁and ▁the ▁festival ▁shrimp ▁is ▁aw es ome ▁ ! <eos> <pad> <pad> <pad> <pad>
▁dent ist ▁and ▁staff ▁have ▁been ▁very ▁professional ▁, ▁inform ative ▁, ▁and ▁friendly ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁george ▁is ▁a ▁most ▁gra cious ▁host ▁and ▁is ▁very ▁proud ▁of ▁his ▁restaurant ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁very ▁interesting ▁sweet ▁and ▁sour ▁had ▁kind ▁of ▁a ▁spice ▁to ▁it ▁but ▁good ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁although ▁not ▁authentic ▁, ▁george ▁& ▁son ▁' s ▁has ▁pretty ▁good ▁chinese ▁food ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁it ▁' s ▁been ▁worth ▁the ▁drive ▁and ▁i ▁' ll ▁definitely ▁return ▁ ! <eos> <pad> <pad> <pad> <pad> <pad>
▁and ▁you ▁get ▁nice ▁decor ▁and ▁pleasant ▁service ▁while ▁you ▁' re ▁at ▁it ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁the ▁breakfast ▁sand wic hes ▁are ▁also ▁del icious ▁and ▁not ▁too ▁expensive ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁place ▁is ▁order ly ▁, ▁clean ▁and ▁the ▁staff ▁was ▁very ▁friendly ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁it ▁was ▁served ▁as ▁a ▁first ▁course ▁but ▁expert ly ▁prepared ▁and ▁cooked ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁george ▁also ▁has ▁some ▁excellent ▁sou ps ▁to ▁try ▁... ▁but ▁try ▁everything ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁ses ame ▁chicken ▁( ▁$ ▁ _ num _ ▁) ▁- ▁excellent ▁sauce ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁pork ▁itself ▁was ▁n ' t ▁my ▁favorite ▁but ▁it ▁was ▁good ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁never ▁had ▁an ▁empty ▁glass ▁, ▁server ▁always ▁made ▁sure ▁we ▁were ▁happy ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁best ▁chinese ▁i ▁' ve ▁found ▁in ▁the ▁scot ts dale ▁area ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁g ▁& ▁s ▁has ▁become ▁a ▁welcome ▁part ▁of ▁my ▁weekly ▁dining ▁rotation ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁george ▁' s ▁seaf ood ▁pocket ▁is ▁the ▁best ▁app et izer ▁ ! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁their ▁breakfast ▁sand wh ic hes ▁are ▁del icious ▁and ▁really ▁filling ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁hy g ien ists ▁are ▁so ▁car ing ▁and ▁thought ful ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁consistently ▁great ▁care ▁, ▁friendly ▁staff ▁could ▁n ' t ▁recommend ▁enough ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
▁my ▁family ▁has ▁eaten ▁here ▁a ▁few ▁times ▁for ▁dinner ▁as ▁well ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
