▁even ▁on ▁that ▁standard ▁, ▁i ▁give ▁it ▁a ▁ _ num _ ▁out ▁of ▁ _ num _ ▁. <eos>
▁i ▁' ve ▁tried ▁ _ num _ ▁different ▁dishes ▁and ▁they ▁all ▁were ▁below ▁average ▁at ▁best ▁. <eos> <pad>
▁i ▁did ▁n ' t ▁notice ▁it ▁being ▁any ▁quick er ▁than ▁any ▁other ▁star b ucks ▁. <eos> <pad> <pad>
▁but ▁man ▁, ▁it ▁' s ▁just ▁not ▁anything ▁special ▁, ▁and ▁also ▁over p ric ed ▁. <eos> <pad> <pad>
▁i ▁can ▁see ▁that ▁they ▁are ▁n ' t ▁full ▁as ▁she ▁claimed ▁they ▁would ▁be ▁. <eos> <pad> <pad> <pad>
▁this ▁place ▁' s ▁food ▁does ▁not ▁even ▁rem ot ely ▁taste ▁like ▁sich uan ▁food ▁. <eos> <pad> <pad> <pad>
▁the ▁chicken ▁lo ▁me in ▁was ▁the ▁most ▁ridic ulous ▁of ▁any ▁i ▁have ▁ever ▁had ▁. <eos> <pad> <pad> <pad>
▁the ▁chicken ▁in ▁the ▁dish ▁was ▁good ▁but ▁the ▁n ood les ▁were ▁way ▁too ▁big ▁. <eos> <pad> <pad> <pad>
▁just ▁if ▁they ▁do ▁make ▁sich uan ▁food ▁they ▁would ▁be ▁able ▁to ▁do ▁this ▁. <eos> <pad> <pad> <pad> <pad>
▁nothing ▁to ▁it ▁, ▁not ▁prepared ▁correctly ▁and ▁the ▁chicken ▁was ▁string y ▁and ▁dry ▁. <eos> <pad> <pad> <pad> <pad>
▁the ▁meat ▁t asted ▁strange ▁and ▁i ▁thought ▁someone ▁has ▁put ▁soap ▁in ▁my ▁mouth ▁. <eos> <pad> <pad> <pad> <pad>
▁so ▁anyway ▁, ▁i ▁come ▁here ▁with ▁a ▁cow ork er ▁and ▁we ▁sit ▁down ▁. <eos> <pad> <pad> <pad> <pad>
▁gave ▁them ▁a ▁little ▁extra ▁time ▁and ▁got ▁there ▁ _ num _ ▁minutes ▁later ▁. <eos> <pad> <pad> <pad> <pad>
▁we ▁also ▁ordered ▁a ▁red ▁velvet ▁and ▁a ▁van illa ▁bean ▁cup c ake ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁she ▁was ▁hor rib ly ▁un help ful ▁and ▁almost ▁r ude ▁at ▁that ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁small ▁, ▁clean ▁in ▁a ▁do ▁n ' t ▁touch ▁anything ▁kind ▁of ▁way ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁he ▁also ▁said ▁he ▁did ▁n ' t ▁see ▁it ▁as ▁being ▁a ▁problem ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁i ▁explained ▁i ▁could nt ▁as ▁my ▁husband ▁was ▁at ▁work ▁with ▁our ▁truck ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁ok ▁i ▁did ▁not ▁get ▁sick ▁+ ▁ _ num _ ▁hours ▁from ▁lunch ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁here ▁' s ▁the ▁thing ▁: ▁my ▁dish ▁was ▁$ ▁ _ num _ ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁i ▁just ▁left ▁, ▁probably ▁could ▁have ▁taken ▁a ▁few ▁shots ▁for ▁the ▁road ▁. <eos> <pad> <pad> <pad> <pad> <pad>
▁anyway ▁, ▁we ▁got ▁our ▁coffee ▁and ▁will ▁not ▁return ▁to ▁this ▁location ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁guess ▁star b ucks ▁customer ▁services ▁is ▁only ▁good ▁at ▁some ▁locations ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁if ▁you ▁must ▁go ▁to ▁one ▁of ▁them ▁choose ▁the ▁mills ▁ave ▁one ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁was ▁charged ▁additionally ▁for ▁each ▁of ▁my ▁ _ num _ ▁dogs ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁she ▁was ▁very ▁r ude ▁and ▁upset ▁as ▁if ▁this ▁was ▁my ▁fault ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁can ▁not ▁wait ▁to ▁see ▁this ▁business ▁fail ▁due ▁to ▁the ▁economy ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁do ▁n ' t ▁ever ▁expect ▁the ▁staff ▁to ▁be ▁nice ▁or ▁friendly ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁i ▁ordered ▁the ▁k ung ▁pa o ▁chicken ▁... ▁it ▁was ▁aw ful ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
▁the ▁chicken ▁appears ▁to ▁be ▁pretty ▁good ▁quality ▁but ▁really ▁s og gy ▁. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
