▁also ▁, ▁i ▁recommend ▁the ▁pizza ▁for ▁a ▁special ▁and ▁the ▁service ▁is ▁perfect ▁. <eos> <eos> <eos> ▁ ! <eos> <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁for ▁the ▁day ▁. <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁you ▁was ▁in ▁the ▁area ▁. <eos> <eos> <eos>
▁i ▁' ve ▁tried ▁several ▁times ▁and ▁the ▁food ▁is ▁both ▁fresh ▁and ▁del icious ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos>
▁i ▁really ▁enjoy ▁the ▁ `` ▁go - to ▁'' ▁spot ▁that ▁we ▁got ▁better ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁to ▁make ▁sure ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos>
▁but ▁it ▁' s ▁so ▁good ▁, ▁and ▁the ▁food ▁is ▁great ▁and ▁hot ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁and ▁they ▁were ▁good ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁.
▁i ▁' m ▁sure ▁they ▁have ▁a ▁great ▁job ▁, ▁she ▁is ▁great ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁they ▁are ▁really ▁great ▁. <eos> <eos> <eos> <eos> ▁you ▁. <eos> <eos> <eos> ▁they ▁were ▁also ▁really ▁good ▁. <eos> <eos> <eos> <eos> ▁you ▁' re ▁also ▁. <eos>
▁this ▁place ▁is ▁del icious ▁- ▁not ▁f ancy ▁at ▁home y ▁but ▁well ▁prepared ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁is ▁well ▁done ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁but ▁well ▁worth ▁it ▁. <eos> <eos>
▁the ▁chicken ▁fried ▁rice ▁is ▁excellent ▁and ▁the ▁best ▁thing ▁i ▁have ▁had ▁in ▁phoenix ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁i ▁have ▁had ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁i ▁have ▁had ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁i ▁have ▁had ▁. <eos> <eos> ▁. <eos>
▁the ▁chicken ▁was ▁great ▁, ▁the ▁portions ▁are ▁very ▁good ▁too ▁ ! <eos> <eos> ▁. <eos> <eos> ▁n ood les ▁. <eos> <eos> ▁. <eos> <eos> ▁was ▁great ▁. <eos> <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁to ▁the ▁sauce ▁. <eos> <eos> ▁. <eos> <eos> ▁. <eos>
▁if ▁you ▁need ▁just ▁as ▁much ▁as ▁you ▁, ▁but ▁definitely ▁recommend ▁the ▁experience ▁. <eos> <eos> <eos> ▁you ▁' re ▁doing ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁you ▁to ▁say ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁you ▁to ▁say ▁. <eos> <eos> <eos> ▁. <eos>
▁great ▁food ▁, ▁the ▁service ▁was ▁great ▁and ▁very ▁warm ▁and ▁filling ▁. <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁and ▁was ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> ▁.
▁the ▁fish ▁is ▁fresh ▁and ▁so ▁i ▁' ve ▁had ▁a ▁new ▁favorite ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> ▁. <eos> <eos> ▁i ▁was ▁in ▁town ▁. <eos> <eos> <eos> ▁. <eos> <eos> ▁i ▁was ▁done ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁i ▁was ▁done
▁so ▁, ▁i ▁went ▁here ▁, ▁and ▁have ▁a ▁wonderful ▁time ▁with ▁friends ▁. <eos> <eos> ▁. <eos> <eos> <eos> ▁. <eos> <eos> <eos> <eos> <eos> <eos> <eos> ▁. <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> ▁. <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos>
